id,pali_1,sutta_1
17359,cittaviveka,guhaṭṭhakasuttaniddeso
17239,citta 2.6,buddha-vassa-sajjhāyanā
17376,cittiṃ katvāna,pārāpariya-thera-gāthā
70981,citra 1.3,raṭṭhapālattheragāthā
17627,cuṇṇaka,raṭṭhapālattheragāthā
17630,cuṇṇakamakkhita,raṭṭhapālattheragāthā
17524,cuddasama,buddha-vassa-sajjhāyanā
17564,cūḷapanthaka,cūḷapanthakasuttaṃ
16520,cetayita,cetanālakkhaṇa pañho
17488,corābhinīta,piṇḍolyasuttaṃ
17475,coḷa 2,maccharisuttaṃ
16891,chaṭṭhama,buddha-vassa-sajjhāyanā
16655,chaḍḍayitvāna,pārāpariya-thera-gāthā
16767,chandaka,bhikkhunīvibhaṅgo
16771,chandanidāna,bhadrakasuttaṃ
16796,chandāraha,dhammayuttika-pubbakicca
16615,chabbīsati,buddha-vassa-sajjhāyanā
16995,chidda 3,methunasuttaṃ
17078,chuḍḍha,aniccānussati
16949,checchati 2,taṇhāvaggo
25565,jarudapāna,candūpamasuttaṃ
25273,jalla,vesālīsuttaṃ
25725,javana 3,bāhiyasuttaṃ vaṇṇanā
26012,jitavā,jaya-maṅgala-aṭṭha-gāthā
25964,jinasāsana,pārāpariyattheragāthā
70827,jivhatā,brahmāyusuttaṃ
25956,jīna 1,maṇikuṇḍala jātaka
26110,jīvitindriya 2,abhidhammabhājanīyaṃ
26159,jotipāla,mahāgovindasuttaṃ
26163,jotirasa,yathā vāri-vahā
35353,ñāṇamattāya,kāyānupassanā
35842,ñātidhamma,tirokuṭṭasuttaṃ
36110,ñāyapaṭipanna,buddha-dhamma-saṅgha-guṇā
60618,ṭṭha,vanaropasuttaṃ
59810,ṭhapeti 5,cūḷasīhanādasuttaṃvaṇṇanā
59728,ṭhānaṃ vijjati,sallekhasuttaṃ
59796,ṭhāpaye,pañhabyākaraṇasuttaṃ
59301,tatrābhiratimicchati,paṇḍitavaggo
59140,tathattāya,kesamuttisuttaṃ
59083,tathābhūtaṃ,bhayabheravasuttaṃ
59127,tathāsamāhita,sīlasuttaṃ
58547,tamañña,kathāvatthusuttaṃvaṇṇanā
59436,tayo 2,sukhapatthanāsuttaṃ
58535,taṃ kiṃ maññatha,janapadakalyāṇīsuttaṃ
59386,tāvakālika,kāmasuttaniddeso
59393,tāvatakena,subhasuttaṃ
60176,tikoṭiparisuddha,sīhasenāpativatthu
60497,tittakagga,sūdasuttaṃ
60337,tiparivaṭṭa,dhammacakkappavattanasuttaṃ
60374,tiracchānakathika,duṭṭhadosa sikkhāpada
60382,tiracchānayonika,guhaṭṭhakasuttaniddeso
60423,tirokaraṇī,seṭṭhiputtavatthu
60186,tilakāhata,devadūtasuttaṃ
60573,tividhaṃ,uddissanādhiṭṭhānā
60312,tīṇi duccaritāni,saṅgītisuttaṃ
60388,tīraṇa,guhaṭṭhakasuttaniddeso
60393,tīrayitvā,hemaka māṇava pucchā niddeso
60397,tīreti 1,guhaṭṭhakasuttaniddeso
60704,tumhaṃ 1,brahmajālasuttaṃ
60705,tumhaṃ 2,yathā vāri-vahā
60666,tulayitvā,kīṭāgirisuttaṃ
59461,tecīvarikaṅga,duṭṭhaṭṭhakasuttaṃniddeso
59628,tettiṃsati,buddha-vassa-sajjhāyanā
59570,tena tena,pārāpariya-thera-gāthā
59605,terasama,buddha-vassa-sajjhāyanā
59644,tevīsati,buddha-vassa-sajjhāyanā
59688,thāmagata,guhaṭṭhakasuttaniddeso
59999,thokika,nirayavaggo
17761,dakāra,kasibhāradvājasuttaṃ vaṇṇanā
18004,dandhaṃ,pāpavaggo
18219,dasasahassilokadhātu,dhammacakkappavattanasuttaṃ
18218,dasasahassī,dhammacakkappavattanasuttaṃ
18322,dassu,kūṭadantasuttaṃ
18323,dassukhīla,kūṭadantasuttaṃ
17853,daḷhī,duṭṭhadosa sikkhāpada
17926,dānapāramī,buddha-vassa-sajjhāyanā
17923,dānamaya,suttantabhājanīyaṃ
17914,dāna 1.2,raṭṭhapālasuttaṃ
17869,dāma 1,koṭṭhikasuttaṃ
19764,diṭṭhippatta,kīṭāgirisuttaṃ
19727,diṭṭhibyasana,dukkhasaccaṃ
19590,dipādaka,khandha-parittaṃ
19599,dīpana 1,salutation to the triple gem
20206,dukkhanirodhagāminīpaṭipadā,dhammacakkappavattanasuttaṃ
20191,dukkhamaddasā,vipallāsasuttaṃ
20077,duggāha,jaya-maṅgala-aṭṭha-gāthā
20408,duppūrana,paṭhamasamuddasuttaṃ vaṇṇanā
20325,dumapphala,raṭṭhapālattheragāthā
20539,dussupina,abhaya-parittaṃ
21043,duvidhena,paṭicca samuppāda
20433,dūraṃ,vijitasenattheragāthā
18498,devabhūta,cundīsuttaṃ
18563,devānubhāva,dhammacakkappavattanasuttaṃ
18425,dehanissita,cakkhupālattheravatthu
19953,dovacassatā,tayodhammasuttaṃ
21129,dvattiṃsā,brahmāyusuttaṃ
21064,dvādasākāra,dhammacakkappavattanasuttaṃ
21199,dvevīsati,buddha-vassa-sajjhāyanā
18886,dhammappaṭisaṃvedī,upavāṇa sandiṭṭhikasuttaṃ
18893,dhammarāgappaṭisaṃvedī,upavāṇa sandiṭṭhikasuttaṃ
19229,dhātumattaka,dhātu-paṭikūla-paccavekkhaṇa-pāṭho
19256,dhāva,jaya-maṅgala-aṭṭha-gāthā
19303,dhītucitta,bhāradvājasuttaṃ
19305,dhītumattī,bhāradvājasuttaṃ
19410,dhutaṅga,duṭṭhaṭṭhakasuttaṃniddeso
35072,nakhacchedana,ādittapariyāyasuttaṃ
34932,nagaraguttika,viññāṇalakkhaṇa pañho
34862,nadita,nālandasuttaṃ
35488,nandirāgasahagata,dhammacakkappavattanasuttaṃ
71045,nanvāgameti,bhaddekarattasuttaṃ
34774,nabhivadati,puṇṇasuttaṃ
35199,namakāra,preliminary homage
35241,namassanīya,ganthārambha-kathā
36084,naya 3,bāhiyasuttaṃ vaṇṇanā
36064,navavidha,dhammayuttika-pubbakicca
35734,nāsana,gāravasuttaṃ
35764,nāsīsati,rohitassasuttaṃ
36726,nidassita,tirokuṭṭasuttaṃ
36741,niddārāmatā,parihānasuttaṃ
37579,nippesika,mahācattārīsakasuttaṃ
36371,nibandhissaṃ,vijitasenattheragāthā
36471,nibbatteti,duṭṭhaṭṭhakasuttaniddeso
36378,nibbāhāpetvā,paṭhamapārājikaṃ
37325,nimaṃsa,navasivathikapabbaṃ
38249,niyāma 1,cakkhusuttaṃ
37740,nirodhagāmī,vibhaṅgasuttaṃ
37899,nissaggiyapācittiya,kathinasikkhāpadaṃ
37942,nissarati,tatiyāssādasuttaṃ
36964,nihacca 2,mānatthaddhasuttaṃ
37289,nīlapītādibheda,upavāṇa sandiṭṭhikasuttaṃ vaṇṇanā
36149,nekatika 2,pārāpariyattheragāthā
36162,nekkhammapāramī,buddha-vassa-sajjhāyanā
36141,negama 2,jīvakavatthu
36246,netti 4,ajātasuttaṃ
36241,netthāra,bhaddālisuttaṃ
36242,netthāraṃ vattati,bhaddālisuttaṃ
36198,nerayika 2,guhaṭṭhakasuttaniddeso
36211,nesajjikaṅga,duṭṭhaṭṭhakasuttaṃniddeso
36300,nevattānaṃ,udāyīsuttaṃ
36267,nevasaññanāsaññā,paṭicca samuppāda
40590,pakaroti,mettāsuttaṃ
40669,pakiritvā,āpattibhayasuttaṃ
40767,pakkhiya 1,soppasuttaṃ
40325,paggharaṇī,mahāassapurasuttaṃ
