bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
kn-ap-1-35-1	kn-ap-1-35-1	kn-ap-1-33	39	498	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	ekapadumiyattherāpadānaṃ
kn-ap-1-35-2	kn-ap-1-35-2	kn-ap-1-33	39	500	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	tiuppalamāliyattherāpadānaṃ
kn-ap-1-35-3	kn-ap-1-35-3	kn-ap-1-33	39	500	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	dhajadāyakattherāpadānaṃ
kn-ap-1-35-4	kn-ap-1-35-4	kn-ap-1-33	39	502	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	tikiṅkiṇipūjakattherāpadānaṃ
kn-ap-1-35-5	kn-ap-1-35-5	kn-ap-1-33	39	502	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	naḷāgārikattherāpadānaṃ
kn-ap-1-35-6	kn-ap-1-35-6	kn-ap-1-33	39	504	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	campakapupphiyattherāpadānaṃ
kn-ap-1-35-7	kn-ap-1-35-7	kn-ap-1-33	39	504	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	padumapūjakattherāpadānaṃ
kn-ap-1-35-8	kn-ap-1-35-8	kn-ap-1-33	39	506	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	tiṇamuṭṭhidāyakattherāpadānaṃ
kn-ap-1-35-9	kn-ap-1-35-9	kn-ap-1-33	39	508	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	tindukaphaladāyakattherāpadānaṃ
kn-ap-1-35-10	kn-ap-1-35-10	kn-ap-1-33	39	508	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		35. ekapadumiyavaggo	ekañjaliyattherāpadānaṃ
kn-ap-1-36-1	kn-ap-1-36-1	kn-ap-1-33	39	510	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		36. saddasaññakavaggo	saddasaññakattherāpadānaṃ
