word	pos	position	type	exceptions	notes
nipātana	any	last	chaṭṭhī tappurisa > bahubbīhi		
nipuṇa	any	last	tatiyā tappurisa		
nibbāpana	nt	last	dutiyā tappurisa		
nimitta	any	last	chaṭṭhī tappurisa	abyagganimitta, asubhanimitta, gahitanimitta, pubbanimitta 1, pubbanimitta 2, sabbanimitta, subhanimitta, suggahītanimitta	
nirutti	any	last	sattamī tappurisa	janapadanirutti, lokanirutti	
nirodha	masc	last	chaṭṭhī tappurisa	anupubbanirodha, anuppādanirodha, appaṭisandhikanirodha, asesanirodha, asesavirāganirodha, vipariṇāmavirāganirodha, virāganirodha	
nisādī	adj	last	sattamī tappurisa		
nisevita	adj	last	tatiyā tappurisa		
nissayī	adj	last	dutiyā tappurisa > bahubbīhi		
nissita	adj	last	dutiyā tappurisa		
nuda	any	last	dutiyā tappurisa		
pakata	adj	last	tatiyā tappurisa	puratthāpakata	
pakata	adj	last	tatiyā tappurisa		
pakkha	masc	last	chaṭṭhī tappurisa | kammadhāraya		
pakkhika	adj	last	kammadhāraya > bahubbīhi		
pakkhiya	adj	last	kammadhāraya > bahubbīhi		
paguṇa	any	last	kammadhāraya		
paccanīka	adj	last	tatiyā tappurisa		
paccāsā	fem	last	sattamī tappurisa		
pacchāda	adj	last	kammadhāraya > bahubbīhi		
pacchima	any	first	kammadhāraya	pacchimābhimukha	
pajjhāyana	nt	last	chaṭṭhī tappurisa		
paññatā	fem	last	kammadhāraya		
paññatti	fem	last	kammadhāraya iti		
pañha	any	last	chaṭṭhī tappurisa		
paṭicca	any	last	dutiyā tappurisa		
paṭinissagga	masc	last	chaṭṭhī tappurisa		
paṭipanna	adj	last	dutiyā tappurisa	ujupaṭipanna, ujuppaṭipanna, micchāpaṭipanna, yathāpaṭipanna, sammāpaṭipanna, sāmīcipaṭipanna	
paṭippanna	any	last	dutiyā tappurisa		
paṭilābha	noun	last	chaṭṭhī tappurisa		
paṭivedha	masc	last	chaṭṭhī tappurisa		
paṭisaññuta	any	last	tatiyā tappurisa		
paṭisambhidā	fem	last	chaṭṭhī tappurisa		
paṭisaṃyutta	adj	last	tatiyā tappurisa		
paṭisaṃvedī	any	last	dutiyā tappurisa		
paṭhama	any	first	kammadhāraya	paṭhamajjhānabhūmi, paṭhamajjhānasamāpatti, paṭhamatatiya, paṭhamadutiya, paṭhamasaṃvaṇṇanānurūpaṃ, paṭhamasuttaṭīkā, paṭhamasuttavaṇṇanā	
paṇīta	any	first	kammadhāraya	paṇītagāmī, paṇītasaṅkhātatara, paṇītādhimuttika	
paṇḍita	any	first	kammadhāraya	paṇḍitatara, paṇḍitanimitta, paṇḍitabālalakkhaṇa, paṇḍitalakkhaṇa, paṇḍitavedanīya, paṇḍitavatthu, paṇḍitabhūmi, paṇḍitāpadāna	
paṇṇa	nt	last	chaṭṭhī tappurisa	tiṇapaṇṇa, haritakapaṇṇa	
patita	any	last	pañcamī tappurisa	upalepapatita, chamāpatita	
patta	adj	last	dutiyā tappurisa	ucchiṭṭhapatta, ūnakasatapatta, cirappatta, dhotapatta, naṭṭhapatta, bhinnapatta, sañchannapatta 1.1, sañchannapatta 2.1, sañchinnapatta, satapatta 3, saṃsīnapatta	reached or attained
patta	nt	last	chaṭṭhī tappurisa	pānapatta, puṇṇapatta, suddhapatta	bowl, leaf, feather
patti	fem	last	chaṭṭhī tappurisa		
patha	adj	last	kammadhāraya > bahubbīhi		
pada	adj	last	> bahubbīhi	sampattasaddhammapada	
pada	nt	last	chaṭṭhī tappurisa		
padesa	masc	last	chaṭṭhī tappurisa | sattamī tappurisa	antopadesa, amatapubbapadesa, purimapadesa, bahipadesa	
pabbajjā	fem	last	chaṭṭhī tappurisa		
pabbata	any	last	kammadhāraya	mīḷhapabbata, aṅgārapabbata	
pabbhāra	adj	last	dutiyā tappurisa	anupubbapabbhāra	
pabhava	adj	last	pañcamī tappurisa > bahubbīhi		
pabhava	noun	last	chaṭṭhī tappurisa		
pamāṇa	adj	last	chaṭṭhī tappurisa > bahubbīhi	atikkantappamāṇa, ghosappamāṇa, dhammappamāṇa, rūpappamāṇa, lūkhappamāṇa, samappamāṇa	
pamāṇa	noun	last	chaṭṭhī tappurisa		
pamocana	nt	last	pañcamī tappurisa		
parama	adj	last	kammadhāraya > bahubbīhi		eva parama
